name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Hyde Park, London, United Kingdom",2023-06-01T00:00:00,12.1,12.1,8.2,76.76,0,0,,0,0,25.5,16.6,47,1026.3,100,24.2,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T01:00:00,11.1,11.1,7.7,79.15,0,0,,0,0,24.1,16.3,47,1026.5,100,24,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T02:00:00,11.1,11.1,7.7,79.26,0,0,,0,0,27,16.1,43,1026.4,100,22.6,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T03:00:00,10.6,10.6,7.4,80.23,0,0,,0,0,30.8,19.4,51,1026.4,100,19.1,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T04:00:00,10.5,10.5,7.2,79.75,0,0,,0,0,29.5,16.2,41,1026.2,100,20,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T05:00:00,10.3,10.3,7.1,80.73,0,0,,0,0,28,17.2,44,1026.1,100,19.3,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T06:00:00,10.5,10.5,7.3,80.75,0,0,,0,0,27,16,54,1026.1,100,19.5,10,0,0,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T07:00:00,10.6,10.6,7.1,78.65,0,0,,0,0,24.5,14.8,53,1026.1,100,20.6,28,0.1,0,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T08:00:00,10.8,10.8,6.9,76.52,0,0,,0,0,30.4,18.1,45,1026.1,100,22.8,62,0.2,1,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T09:00:00,11.6,11.6,7.1,74.12,0,0,,0,0,27.2,17.6,57,1026.2,100,25.1,102,0.4,1,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T10:00:00,12,12,7.4,73.12,0,0,,0,0,27.4,17.2,50,1026.2,100,24.2,123,0.4,1,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T11:00:00,12.8,12.8,7.5,70.34,0,0,,0,0,25.2,15.7,56,1026.1,100,26.5,184,0.7,2,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T12:00:00,14.1,14.1,7.8,66.02,0,0,,0,0,29.3,17.6,60,1026,100,27.7,246,0.9,2,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T13:00:00,15.6,15.6,8.6,63.21,0,0,,0,0,26.5,18.9,64,1025.6,94.8,29.6,343,1.2,3,,Overcast,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T14:00:00,17,17,8.8,58.64,0,0,,0,0,30.4,18.6,40,1025.4,57.6,32.2,597,2.1,6,,Partially cloudy,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T15:00:00,18.3,18.3,8.4,52.32,0,0,,0,0,30.2,17.3,50,1024.8,6.4,36,360,1.3,4,,Clear,clear-day,"03769099999,03680099999,D5621,03672099999,03781099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T16:00:00,18.8,18.8,8.9,52.33,0,0,,0,0,37.8,19.8,40,1024.2,16.7,10,173,0.6,2,,Clear,clear-day,"03680099999,D5621,03672099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T17:00:00,19.6,19.6,9.5,52.28,0,0,,0,0,35.7,18.9,50,1024,0,25.4,65,0.2,1,,Clear,clear-day,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T18:00:00,18.5,18.5,8.6,52.4,0,0,,0,0,28,16.6,47,1023.9,0,28.8,50,0.2,1,,Clear,clear-day,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T19:00:00,17.3,17.3,9.2,58.72,0,0,,0,0,33.2,19.8,36,1023.5,4,39.7,51,0.2,1,,Clear,clear-day,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T20:00:00,15.1,15.1,8.6,64.91,0,0,,0,0,33.6,21.3,42,1024,0,41.1,49,0.2,0,,Clear,clear-day,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T21:00:00,13.6,13.6,8.7,72.01,0,0,,0,0,33.9,22,42,1024.3,92.8,41.1,16,0.1,0,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T22:00:00,13.3,13.3,7.6,68.16,0,0,,0,0,34,20.8,47,1025,100,37.9,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-01T23:00:00,13,13,7,67.2,0,0,,0,0,32.4,18.8,47,1025.2,100,38.5,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T00:00:00,12.1,12.1,6.5,68.77,0,0,,0,0,30.4,16.8,50,1025.2,100,36.5,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T01:00:00,11.8,11.8,6.3,69.23,0,0,,0,0,30.4,18.6,46,1025.4,100,37.1,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T02:00:00,11.6,11.6,6.5,71.1,0,0,,0,0,29.3,16.8,47,1025.3,100,43.9,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T03:00:00,11.1,11.1,6,70.93,0,0,,0,0,33.2,18.7,54,1025.2,100,49.5,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T04:00:00,11.1,11.1,5.4,67.71,0,0,,0,0,26.2,17.4,49,1025,100,39.9,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T05:00:00,11,11,4.9,65.81,0,0,,0,0,24.8,16.1,51,1025.1,100,34.5,0,0,0,,Overcast,cloudy,"03680099999,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T06:00:00,11.1,11.1,5,66.29,0,0,,0,0,29.3,17.1,44,1025.2,100,29.1,12,0,0,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T07:00:00,11.1,11.1,4.4,63.15,0,0,,0,0,30.1,19.8,44,1025.2,100,27.7,39,0.1,0,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T08:00:00,11.1,11.1,4.6,64.4,0,0,,0,0,31.7,18.9,46,1025.2,100,27.7,80,0.3,1,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T09:00:00,11.6,11.6,4.6,62.35,0,0,,0,0,30.8,21.4,54,1025.2,100,27.7,142,0.5,1,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
"Hyde Park, London, United Kingdom",2023-06-02T10:00:00,12.1,12.1,5.1,62.38,0,0,,0,0,35,19.5,43,1025.2,100,31.1,192,0.7,2,,Overcast,cloudy,"03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
